username,rank,track_name,artist
bananaabread,10,Alone Together,Horace Parlan
jace-ch,1,Now 2,Food House
jace-ch,2,La La La,Food House
jace-ch,3,More Wonkier,Mport
jace-ch,4,everybody's eyes,Food House
jace-ch,5,Jumpin the Cacc,Food House
jace-ch,6,kutna hora,Food House
jace-ch,7,Dancing on Your Grave,Food House
jace-ch,8,get it,Food House
jace-ch,9,How It Feels,Mport
jace-ch,10,clown nose,Food House
wertee34,1,Alibi Bunny,Usada Pekora
wertee34,2,KimitoMitaiKeshiki,Usada Pekora
wertee34,3,RaRaRa Rabbit,Usada Pekora
wertee34,4,Saikyo Megami†Usa Pekora,Usada Pekora
wertee34,5,Shoten Chokuzen Love it LIVE,Usada Pekora
wertee34,6,Usagi the Story,Usada Pekora
wertee34,7,ZenjinruiUsagikakeikaku!,Usada Pekora
wertee34,8,PEKORANDOMBRAIN,Usada Pekora
wertee34,9,Buried Alive,Avenged Sevenfold
wertee34,10,Your Rain,Akira Yamaoka
seulementvous,1,One Trick Pony,deadmau5
seulementvous,2,Memories,Netzwerk
seulementvous,3,Timeless (Feat Playboi Carti),The Weeknd
seulementvous,4,Dazed & Confused,Glen Check
seulementvous,5,Dissertation of an Idle Voice,SeeYouSpaceCowboy...
seulementvous,6,Que veux-tu - Madeon Remix - Bonus Track,Yelle
seulementvous,7,My will - Original Mix,Dream
seulementvous,8,Raise Your Weapon,deadmau5
seulementvous,9,What You Waiting For?,Gwen Stefani
seulementvous,10,Bad Romance,Lady Gaga
JohnCross_,1,Pay No Mind,Beach House
JohnCross_,2,Sunglasses,"Black Country, New Road"
JohnCross_,3,Careful What You Say,Class Actress
JohnCross_,4,Drama Queen,Desire
JohnCross_,5,A New Kind Of Love - Demo,Frou Frou
JohnCross_,6,yr heart,Hand Habits
JohnCross_,7,Lorna,Labyrinth Ear
JohnCross_,8,Electric Heat,Mecha Maiko
JohnCross_,9,Losing You,Solange
JohnCross_,10,Fuck You Up,Telepathe
wahoo650,1,The Basement Beneath the Fountain,No Cure
wahoo650,2,Drag Me To The Slaughter,Devour
wahoo650,3,Don't Need Your Help,No Cure
wahoo650,4,Embrace Death,No Cure
wahoo650,5,Forced Coagulation,No Cure
wahoo650,6,Leaving My Troubles Behind,Blues Image
wahoo650,7,Take Me to the Sunrise,Blues Image
wahoo650,8,Cletus,Bodybox
wahoo650,9,Nothing Special,Boris
wahoo650,10,Pink,Boris
SnowMexican94,1,Intro,Spectral Squire
SnowMexican94,2,Masquerade,Spectral Squire
SnowMexican94,3,Paintings of Toreador,Spectral Squire
SnowMexican94,4,Putrid Herbs,Spectral Squire
SnowMexican94,5,10624 I AM PAN 666,Saltare Maleficarum
SnowMexican94,6,Bonus Instrumental,Saltare Maleficarum
SnowMexican94,7,Embrace Tradition,Saltare Maleficarum
